Mutant	Formula	Neg_R1	Neg_R2	Neg_R3	Pos_R1	Pos_R2	Pos_R3
F22031	C3H7NO2S				11.80729981	18.4672775	12.75451908
F22031	C6H10O6	79.28053073	82.24116871	75.19793312			
F22031	C4H7NO4				321.4126073	366.2545116	315.8407915
F22031	C6H13N3O3				32.67928333	41.67480003	36.20039337
F22031	C5H5N5				19.7772797	20.40763811	18.31970965
F22031	C5H12N2O2				25.64817976	25.86112937	20.95018462
F22031	C6H14N4O2				19.02584131	24.65390382	20.5637915
F22031	C3H5O6P	0.261665061	0.940075197	0.831170356			
F22031	C6H12N2O3				57.96801757	58.64406827	50.38795992
F22031	C7H11NO4				8.081490395	8.500370315	7.648753258
F22031	C10H13N5O5				3.173147473	2.783287243	2.707315066
F22031	C7H14N2O4				0.246900561	0.530090935	0.579588889
F22031	C3H6N2				18.13048016	25.41625187	23.83654547
F22031	C6H10N2O3				5.100550075	4.759086641	3.126217859
F22031	C6H11NO2				14.87660258	0.355713612	2.397418709
F22031	C7H8O6	1.655604021	1.077866301	1.151556366			
F22031	C5H6O4	1.525207057	1.290182157	1.200070448			
F22031	C3H4O4	2.747968283	2.32864634	2.552952822			
F22031	C11H18N2O7				14.79422706	16.20731862	14.40924709
F22031	C5H11NO2				283.2169611	372.1391743	241.7062587
F22031	C6H12O6	3.62687869	2.245636995	2.014291986			
F22031	C11H19NO8				11.94779374	10.86601737	8.185893595
F22031	C5H8O5	6.187954947	6.365130345	6.520763317			
F22031	C7H11NO5				38.9057663	36.94142032	30.04617286
F22031	C3H5NO2				21.85651678	22.61347647	20.50300912
F22031	C6H10O3	9.016078668	9.89136711	9.891415691			
F22031	C6H8O7	66.40744427	79.65860449	67.91799382			
F22031	C5H5NO2				16.32832149	14.87854133	12.52833496
F22031	C6H11NO3S				5.690885708	8.592557143	5.056029887
F22031	C2H5NO2				88.01246267	7.331176368	9.124844931
F22031	C3H6O3	10.33489229	5.308770509	2.46768927			
F22031	C8H14N2O5S				4.650953209	5.100788186	3.627226907
F22031	C8H11NO3				3.593476118	5.391346469	1.76969193
F22031	C6H9N3O2				16.05991572	18.53879901	10.73462635
F22031	C5H11O7P	5.661384552	5.438216801	2.136908606			
F22031	C20H31N3O19P2	4.725537712	3.470850832	2.473333457			
F22031	C3H4O3	4.462132462	2.46054575	4.187585533			
F22031	C6H11NO4				10.53709298	7.299580289	5.825100542
F22031	C9H16N2O5				13.11734752	4.417171202	4.979433264
F22031	C3H6O4	118.4526409	144.6912624	150.6268469			
F22031	C5H9NO4	987.4929981	935.3178501	842.6387463			
F22031	C9H11NO3				53.17295333	66.81226281	40.3403283
F22031	C4H6O3	4.315090312	4.368467117	4.656073768			
F22031	C4H4O4	2.720013386	2.759562373	2.338348675			
F22031	C15H22N6O5S				7.9111784	7.643119193	6.209012675
F22031	C5H7NO3				22.81072501	22.82055442	20.98438354
F22031	C11H12N2O2				10.83983503	12.25408746	5.777178224
F22031	C5H9NO2				32.01025018	35.41168511	26.70075716
F22031	C10H13N5O4				0.925935467	0.929491273	1.937227237
F22031	C7H10O4	2.87387042	3.090740487	2.71095666			
F22031	C5H10O4	3.295137757	3.129786946	2.785794222			
F22031	C5H9NO5				26.16170018	24.65018075	22.04024033
F22031	C6H13NO2				315.189851	422.8645951	255.7618319
F22031	C3H4O2	1.024696164	1.134163847	1.336829166			
F22031	C5H8O4	2.315360536	1.137421562	2.222842794			
F22031	C9H15N4O8P				12.11197011	8.7164385	8.363458304
F22031	C6H12O4	1.563893273	1.408052844	0.468243181			
F22031	C6H6O6	2.808458614	3.343867544	3.07885461			
F22031	C3H7NO3				993.0334957	1365.452856	1346.741265
F22031	C8H13NO5				7.436758382	7.190995409	4.878402176
F22031	C4H9NO2				48.41756671	58.87739293	53.81074905
F22031	C8H11NO				3.127134728	3.297599683	3.349460374
F22031	C4H7NO2				715.9502764	749.6833958	639.2584546
F22031	C5H4N4O				0.851094349	2.321904194	1.290010445
F22031	C6H10O5	20.68132651	21.53213382	19.86274437			
F22031	C6H11NO3				21.2063793	11.22208049	34.35039709
F22031	C5H8N2O2					0.215989127	
F22031	C5H10N2O3	5.118053713	5.604213476	4.652051683			
F22031	C9H10O4						
F22031	C9H11NO2				264.5780945	317.4225954	225.2002184
F22031	C7H14N2O3				5.22561282	3.863261017	4.617767469
F22031	C7H12O5	12.44418389	12.37470426	14.13237778			
F22031	C3H7NO2				317.5259291	386.9935962	280.5102525
F22031	C5H6O5	17.70457945	16.29601408	16.61034274			
F22031	C7H7NO2				1.409818924	1.367210515	0.977158609
F22031	C11H15N5O3S				32.28924927	33.14337042	24.24831906
F22031	C4H6O5	8.371521565	7.517853793	7.252161477			
F22031	C6H14N2O2				20.27589193	24.56799787	18.10899796
F22031	C6H13O9P	85.16555369	126.1171976	102.6926876			
F22031	C7H10O7	8.101618679	8.380212891	7.414938004			
F22031	C4H6O4	2.990496034	4.055075955	4.061008834			
F22031	C4H9NO3				14.30540413	11.24705078	7.850510863
F22031	C5H8N2O5				3.803905479	4.171273187	4.232694828
F30658	C5H5NO2				13.11018488	13.06557568	12.45991603
F30658	C6H10O3	7.011596954	8.524747922	8.546214401			
F30658	C6H8O7	136.3278826	114.6175538	124.6142712			
F30658	C3H5NO2				15.16652219	12.1632789	12.34611032
F30658	C7H11NO5				73.26028879	52.84068718	62.60347301
F30658	C5H11NO2				177.4727531	157.5869197	169.7812471
F30658	C11H18N2O7				48.53415518	33.97441852	33.30285079
F30658	C6H12O6	3.21184294	2.660547361	2.614393537			
F30658	C11H19NO8				0.83180369	0.283852548	0.362323498
F30658	C5H8O5	33.90424771	29.45743878	32.06131717			
F30658	C3H4O4	2.228477205	1.853504318	1.975038003			
F30658	C20H31N3O19P2	0.420895284					
F30658	C3H4O3	1.354687548	1.901733219	1.988150904			
F30658	C5H11O7P	3.007054831	2.332716592	2.515211127			
F30658	C6H9N3O2				10.37697017	5.744389048	8.623229771
F30658	C8H14N2O5S				7.901718506	6.390196391	6.360726575
F30658	C8H11NO3				8.484010841	5.841751331	9.038185689
F30658	C3H6O3	6.889069801	4.786511947	2.146751609			
F30658	C2H5NO2				2881.633713	17.08271713	17.31867393
F30658	C6H11NO3S				1.957121589	1.544618093	0.612889493
F30658	C3H5O6P	0.409641394	0.86412401	0.460076582			
F30658	C5H12N2O2				38.38733382	32.16020667	29.93560462
F30658	C5H5N5				20.96215036	16.32942571	17.02855675
F30658	C6H14N4O2				19.76476858	16.79671445	15.52109312
F30658	C6H13N3O3				65.77182854	53.44159724	53.61172506
F30658	C4H7NO4				209.9372205	166.8147811	176.674598
F30658	C6H10O6	60.99934162	56.55585775	60.24513351			
F30658	C3H7NO2S				17.01542849	11.95329835	15.36031003
F30658	C5H6O4	2.774481876	2.514334033	3.221945269			
F30658	C7H8O6	1.188545082	0.894515598	1.119356359			
F30658	C6H11NO2				10.45282125	7.677382825	7.004321036
F30658	C6H10N2O3				9.485509528	7.777705934	6.346361512
F30658	C3H6N2				15.59653608	17.66273219	18.01132396
F30658	C6H12N2O3				31.94974301	28.32863158	27.62721572
F30658	C10H13N5O5				2.047928676	2.07626833	1.290073157
F30658	C7H14N2O4					0.171610462	0.404628552
F30658	C7H11NO4				5.44166717	2.444085631	5.257811058
F30658	C9H11NO2				155.424208	117.9506616	125.5429064
F30658	C5H8N2O2						
F30658	C6H11NO3				11.60247253	30.90528037	41.61992649
F30658	C6H10O5	16.99439649	17.32691486	16.54552536			
F30658	C9H10O4	1.453872996	1.063711108	1.260780883			
F30658	C5H10N2O3	9.562005477	7.254487941	7.436798023			
F30658	C5H4N4O				3.847693501	3.55939274	3.583310098
F30658	C4H7NO2				642.7234955	521.4091602	532.0060388
F30658	C8H11NO				2.251849551	2.606532742	2.947963421
F30658	C8H13NO5					0.223285008	0.217711444
F30658	C4H9NO2				29.25982371	38.8564709	37.89563724
F30658	C5H8N2O5				8.159507566	4.74255114	4.749234549
F30658	C7H10O7	3.075736155	2.541515293	2.811244065			
F30658	C4H6O4	5.759166829	5.7034475	5.320700876			
F30658	C4H9NO3				12.55090775	7.872099719	9.712155755
F30658	C6H13O9P	162.1732551	150.9328073	144.2035108			
F30658	C6H14N2O2				14.89116665	13.43859644	12.8932619
F30658	C7H7NO2				3.266478505	1.798292832	2.375650494
F30658	C11H15N5O3S				46.08275735	30.21736711	33.85652732
F30658	C4H6O5	11.30465415	8.267629674	6.986262659			
F30658	C5H6O5	26.45922875	20.56566752	19.70624914			
F30658	C3H7NO2				241.3633241	188.464496	170.4183538
F30658	C7H14N2O3				11.92765762	11.75853932	9.434543012
F30658	C7H12O5	46.53124603	38.77725597	38.92737759			
F30658	C15H22N6O5S				6.864944232	4.937861163	4.590932633
F30658	C5H7NO3				35.61560196	28.71233804	23.95887147
F30658	C4H4O4	1.985171972	1.44743237	1.399415541			
F30658	C9H11NO3				25.19818514	22.90371485	17.29423277
F30658	C4H6O3	6.722064679	5.973423394	5.284393291			
F30658	C3H6O4	11.65520057	10.21008241	10.33992355			
F30658	C5H9NO4	859.5800218	708.0351628	723.5043334			
F30658	C6H11NO4				4.344314452	3.205814232	3.23877738
